season,week,franchise_name,off,deff,potential,composite,adjusted_all_play,actual_all_play,expected_all_play,k,elo
2026,0,Arizona Cardinals,,,,,,,,,1497.0344410308642
2026,0,Atlanta Falcons,,,,,,,,,1503.906780348844
2026,0,Baltimore Ravens,,,,,,,,,1461.4066208815661
2026,0,Buffalo Bills,,,,,,,,,1473.020962791241
2026,0,Carolina Panthers,,,,,,,,,1519.464892588195
2026,0,Chicago Bears,,,,,,,,,1505.4129347810967
2026,0,Cincinnati Bengals,,,,,,,,,1518.894959049645
2026,0,Cleveland Browns,,,,,,,,,1502.3339652190398
2026,0,Dallas Cowboys,,,,,,,,,1484.860733221371
2026,0,Denver Broncos,,,,,,,,,1550.3821207437893
2026,0,Detroit Lions,,,,,,,,,1501.0096327525446
2026,0,Green Bay Packers,,,,,,,,,1471.4737342221533
2026,0,Houston Texans,,,,,,,,,1508.0589618360852
2026,0,Indianapolis Colts,,,,,,,,,1509.7727696272423
2026,0,Jacksonville Jaguars,,,,,,,,,1526.8721196503946
2026,0,Kansas City Chiefs,,,,,,,,,1491.1124040331672
2026,0,Las Vegas Raiders,,,,,,,,,1506.6476127980202
2026,0,Los Angeles Chargers,,,,,,,,,1477.7963845327786
2026,0,Los Angeles Rams,,,,,,,,,1502.4723978084858
2026,0,Miami Dolphins,,,,,,,,,1517.6382532248906
2026,0,Minnesota Vikings,,,,,,,,,1526.232230817645
2026,0,New England Patriots,,,,,,,,,1484.1980817559024
2026,0,New Orleans Saints,,,,,,,,,1479.7230025924414
2026,0,New York Giants,,,,,,,,,1502.0086922733105
2026,0,New York Jets,,,,,,,,,1489.5383986413435
2026,0,Philadelphia Eagles,,,,,,,,,1508.2777225509417
2026,0,Pittsburgh Steelers,,,,,,,,,1458.2820571356658
2026,0,San Francisco 49ers,,,,,,,,,1484.0591919388207
2026,0,Seattle Seahawks,,,,,,,,,1480.6178594547755
2026,0,Tampa Bay Buccaneers,,,,,,,,,1500.1958006189138
2026,0,Tennessee Titans,,,,,,,,,1488.5448669455661
2026,0,Washington Commanders,,,,,,,,,1568.7494141332538
