"season","week","franchise_id","points","potential","off","division","conference","allplay","def"
2020,1,"0001",251.7,277.9,118.7,"00","00",0.935483870967742,133
2020,1,"0002",158.8,215.7,88.4,"00","00",0.161290322580645,70.4
2020,1,"0003",157.9,196.9,79.3,"00","00",0.129032258064516,78.6
2020,1,"0004",136,206.3,36.7,"00","00",0,99.3
2020,1,"0005",225.9,281.8,114.3,"01","00",0.806451612903226,111.6
2020,1,"0006",146.6,194.8,73.9,"01","00",0.032258064516129,72.7
2020,1,"0007",253.1,292,166.6,"01","00",0.967741935483871,86.5
2020,1,"0008",190,229.5,100.1,"01","00",0.451612903225806,89.9
2020,1,"0009",198.8,233.8,89.6,"02","00",0.483870967741935,109.2
2020,1,"0010",176.5,235.3,87.3,"02","00",0.32258064516129,89.2
2020,1,"0011",208.3,260.4,122.2,"02","00",0.580645161290323,86.1
2020,1,"0012",209.4,233.2,81.9,"02","00",0.612903225806452,127.5
2020,1,"0013",175.4,213.1,77.9,"03","00",0.290322580645161,97.5
2020,1,"0014",178.9,234,108.3,"03","00",0.354838709677419,70.6
2020,1,"0015",258.2,302.6,155.1,"03","00",1,103.1
2020,1,"0016",224.5,279.5,99.7,"03","00",0.774193548387097,124.8
2020,1,"0017",220.9,238.2,124.6,"04","01",0.741935483870968,96.3
2020,1,"0018",220.2,302.9,90,"04","01",0.709677419354839,130.2
2020,1,"0019",154.5,246.3,57,"04","01",0.0645161290322581,97.5
2020,1,"0020",169.5,212,83,"04","01",0.258064516129032,86.5
2020,1,"0021",182.2,228.3,94.2,"05","01",0.387096774193548,88
2020,1,"0022",227.8,268.1,131.5,"05","01",0.838709677419355,96.3
2020,1,"0023",216.1,260.9,123.4,"05","01",0.67741935483871,92.7
2020,1,"0024",157.6,198.8,79.4,"05","01",0.0967741935483871,78.2
2020,1,"0025",214,226.6,138.3,"06","01",0.645161290322581,75.7
2020,1,"0026",230.2,251.7,135.2,"06","01",0.903225806451613,95
2020,1,"0027",229.9,273.4,146.1,"06","01",0.870967741935484,83.8
2020,1,"0028",198.9,258,81.4,"06","01",0.516129032258065,117.5
2020,1,"0029",187.9,201.7,92.2,"07","01",0.419354838709677,95.7
2020,1,"0030",204.8,254.4,119.4,"07","01",0.548387096774194,85.4
2020,1,"0031",160.9,215.3,63.9,"07","01",0.193548387096774,97
2020,1,"0032",167.2,212.2,79.6,"07","01",0.225806451612903,87.6
2020,2,"0001",232,313.2,162.7,"00","00",0.516129032258065,69.3
2020,2,"0002",254.6,278.6,122,"00","00",0.870967741935484,132.6
2020,2,"0003",134.9,170.5,77.2,"00","00",0.032258064516129,57.7
2020,2,"0004",136.4,221.5,54.1,"00","00",0.0645161290322581,82.3
2020,2,"0005",240.1,264.4,102.5,"01","00",0.67741935483871,137.6
2020,2,"0006",210.8,264.6,152.4,"01","00",0.32258064516129,58.4
2020,2,"0007",249,287.9,121.8,"01","00",0.774193548387097,127.2
2020,2,"0008",237.6,296.3,91,"01","00",0.612903225806452,146.6
2020,2,"0009",214.3,253.7,83.1,"02","00",0.354838709677419,131.2
2020,2,"0010",192.4,242.4,134.2,"02","00",0.193548387096774,58.2
2020,2,"0011",257.8,321.1,144,"02","00",0.935483870967742,113.8
2020,2,"0012",215.9,240.9,112,"02","00",0.387096774193548,103.9
2020,2,"0013",128.8,189.1,62.6,"03","00",0,66.2
2020,2,"0014",163.1,211.2,75.1,"03","00",0.0967741935483871,88
2020,2,"0015",219.3,295,134.3,"03","00",0.451612903225806,85
2020,2,"0016",263.9,298.7,160,"03","00",0.967741935483871,103.9
2020,2,"0017",231,243.2,139.5,"04","01",0.483870967741935,91.5
2020,2,"0018",171.7,229.6,58.1,"04","01",0.129032258064516,113.6
2020,2,"0019",264,322.6,152.9,"04","01",1,111.1
2020,2,"0020",251.8,282.3,156.1,"04","01",0.806451612903226,95.7
2020,2,"0021",218.8,249.7,110.8,"05","01",0.419354838709677,108
2020,2,"0022",244.5,283.1,134,"05","01",0.709677419354839,110.5
2020,2,"0023",201.2,261.7,127.3,"05","01",0.225806451612903,73.9
2020,2,"0024",210.7,285.3,116.5,"05","01",0.290322580645161,94.2
2020,2,"0025",239,272.7,167.2,"06","01",0.645161290322581,71.8
2020,2,"0026",247.5,269.7,166.4,"06","01",0.741935483870968,81.1
2020,2,"0027",256.7,279.8,155.3,"06","01",0.903225806451613,101.4
2020,2,"0028",233.9,250.1,111.9,"06","01",0.548387096774194,122
2020,2,"0029",252.3,294,118.1,"07","01",0.838709677419355,134.2
2020,2,"0030",208,239.2,94.2,"07","01",0.258064516129032,113.8
2020,2,"0031",235.1,275.9,135.8,"07","01",0.580645161290323,99.3
2020,2,"0032",173.4,231.3,95.8,"07","01",0.161290322580645,77.6
2020,3,"0001",231.9,295.8,115.4,"00","00",0.709677419354839,116.5
2020,3,"0002",187.1,217.1,126.3,"00","00",0.32258064516129,60.8
2020,3,"0003",204.8,271,113.2,"00","00",0.483870967741935,91.6
2020,3,"0004",157.4,192,69.9,"00","00",0.032258064516129,87.5
2020,3,"0005",244.6,268.5,132.9,"01","00",0.82258064516129,111.7
2020,3,"0006",174.1,230.5,96.8,"01","00",0.225806451612903,77.3
2020,3,"0007",166.2,207.1,82.9,"01","00",0.161290322580645,83.3
2020,3,"0008",254.8,280.6,122.3,"01","00",0.935483870967742,132.5
2020,3,"0009",239.1,258.4,95,"02","00",0.741935483870968,144.1
2020,3,"0010",161.8,203.1,72.4,"02","00",0.0967741935483871,89.4
2020,3,"0011",239.2,284.9,146.3,"02","00",0.774193548387097,92.9
2020,3,"0012",195.6,238.5,83.8,"02","00",0.387096774193548,111.8
2020,3,"0013",259.6,278,122.7,"03","00",1,136.9
2020,3,"0014",154.1,238.2,68.3,"03","00",0,85.8
2020,3,"0015",158,205.5,69.4,"03","00",0.0645161290322581,88.6
2020,3,"0016",247.5,272.1,157.5,"03","00",0.903225806451613,90
2020,3,"0017",216.3,244.3,147.3,"04","01",0.645161290322581,69
2020,3,"0018",244.7,258.1,124.6,"04","01",0.870967741935484,120.1
2020,3,"0019",170,246.5,52.3,"04","01",0.193548387096774,117.7
2020,3,"0020",255.1,268.5,144.6,"04","01",0.967741935483871,110.5
2020,3,"0021",211.1,253,79.1,"05","01",0.612903225806452,132
2020,3,"0022",206.9,256.2,107,"05","01",0.548387096774194,99.9
2020,3,"0023",164.6,247.1,76.3,"05","01",0.129032258064516,88.3
2020,3,"0024",197.2,256.6,95.2,"05","01",0.419354838709677,102
2020,3,"0025",208.3,236.5,127.4,"06","01",0.580645161290323,80.9
2020,3,"0026",200.1,225.7,109.1,"06","01",0.451612903225806,91
2020,3,"0027",194.1,282.2,93.1,"06","01",0.354838709677419,101
2020,3,"0028",184.6,222.6,89.2,"06","01",0.258064516129032,95.4
2020,3,"0029",230.2,247.4,140.8,"07","01",0.67741935483871,89.4
2020,3,"0030",206.7,233.7,69.3,"07","01",0.516129032258065,137.4
2020,3,"0031",244.6,268.5,134.1,"07","01",0.82258064516129,110.5
2020,3,"0032",186.5,239.3,98.5,"07","01",0.290322580645161,88
2020,4,"0001",207.5,266.6,131.1,"00","00",0.580645161290323,76.4
2020,4,"0002",222.4,265.3,126.2,"00","00",0.806451612903226,96.2
2020,4,"0003",212.5,253.9,119.7,"00","00",0.645161290322581,92.8
2020,4,"0004",214.5,227.7,111,"00","00",0.67741935483871,103.5
2020,4,"0005",162.5,179.5,85.5,"01","00",0.225806451612903,77
2020,4,"0006",138.4,187.2,73.7,"01","00",0,64.7
2020,4,"0007",239.7,262.1,184.9,"01","00",0.838709677419355,54.8
2020,4,"0008",154.7,222.4,66.1,"01","00",0.129032258064516,88.6
2020,4,"0009",216.7,254,114.9,"02","00",0.741935483870968,101.8
2020,4,"0010",156.3,186.9,92,"02","00",0.161290322580645,64.3
2020,4,"0011",280.3,295.3,178.5,"02","00",1,101.8
2020,4,"0012",184.6,210.8,78.9,"02","00",0.354838709677419,105.7
2020,4,"0013",179.5,241.8,81.2,"03","00",0.32258064516129,98.3
2020,4,"0014",218,248.7,145.4,"03","00",0.774193548387097,72.6
2020,4,"0015",194.2,222.9,143,"03","00",0.419354838709677,51.2
2020,4,"0016",149.4,209.4,63.9,"03","00",0.0645161290322581,85.5
2020,4,"0017",254,261.1,164.6,"04","01",0.935483870967742,89.4
2020,4,"0018",175.6,213.1,90.2,"04","01",0.290322580645161,85.4
2020,4,"0019",208.7,244.2,136.1,"04","01",0.612903225806452,72.6
2020,4,"0020",254.9,258.2,166.1,"04","01",0.967741935483871,88.8
2020,4,"0021",205.8,266.3,124.4,"05","01",0.548387096774194,81.4
2020,4,"0022",248.8,255.7,144.8,"05","01",0.870967741935484,104
2020,4,"0023",142.4,178.9,55.8,"05","01",0.032258064516129,86.6
2020,4,"0024",198.6,268,111.2,"05","01",0.451612903225806,87.4
2020,4,"0025",161.3,221.3,53.5,"06","01",0.193548387096774,107.8
2020,4,"0026",215.7,285.7,137,"06","01",0.709677419354839,78.7
2020,4,"0027",253.5,277.2,161.3,"06","01",0.903225806451613,92.2
2020,4,"0028",186.6,219,99.9,"06","01",0.387096774193548,86.7
2020,4,"0029",203.3,222,100.6,"07","01",0.516129032258065,102.7
2020,4,"0030",150.7,187.3,79.2,"07","01",0.0967741935483871,71.5
