"season","franchise_id","previous_id"
2021,27,"0027"
2021,22,"0022"
2021,5,"0005"
2021,26,"0028"
2021,6,"0018"
2021,3,"0003"
2021,9,"0009"
2021,2,"0002"
2021,29,"0029"
2021,14,NA
2021,28,NA
2021,1,NA
2021,12,"0001"
2021,21,"0021"
2021,19,NA
2021,31,"0031"
2021,16,"0016"
2021,25,NA
2021,24,NA
2021,18,"0019"
2021,8,"0008"
2021,17,NA
2021,15,"0015"
2021,30,NA
2021,7,"0007"
2021,23,"0023"
2021,4,NA
2021,13,"0013"
2021,32,"0032"
2021,20,"0020"
2021,11,"0011"
2021,10,NA
2022,5,"0005"
2022,19,"0023"
2022,27,"0027"
2022,28,"0028"
2022,4,"0004"
2022,29,"0029"
2022,17,"0017"
2022,2,"0002"
2022,10,"0010"
2022,13,"0013"
2022,15,"0008"
2022,31,"0031"
2022,21,"0021"
2022,18,"0026"
2022,32,NA
2022,14,"0014"
2022,7,NA
2022,22,"0022"
2022,1,"0001"
2022,23,NA
2022,9,"0009"
2022,12,"0012"
2022,3,"0003"
2022,30,"0030"
2022,8,NA
2022,16,"0016"
2022,20,"0011"
2022,25,NA
2022,6,NA
2022,26,NA
2022,11,"0019"
2022,24,NA
2023,16,NA
2023,3,"0003"
2023,2,"0002"
2023,17,"0017"
2023,12,"0015"
2023,6,"0006"
2023,28,"0001"
2023,30,NA
2023,19,"0019"
2023,27,"0027"
2023,4,"0004"
2023,5,"0005"
2023,31,"0031"
2023,13,"0013"
2023,8,NA
2023,29,"0029"
2023,18,"0018"
2023,22,"0022"
2023,24,NA
2023,32,"0032"
2023,21,"0021"
2023,10,"0010"
2023,14,"0016"
2023,11,"0011"
2023,25,"0025"
2023,26,NA
2023,7,NA
2023,9,NA
2023,1,"0007"
2023,20,"0020"
2023,23,"0023"
2023,15,"0014"
2024,18,NA
2024,16,"0023"
2024,6,"0006"
2024,29,"0029"
2024,2,"0002"
2024,24,NA
2024,9,NA
2024,4,NA
2024,25,"0025"
2024,22,"0022"
2024,12,"0012"
2024,20,NA
2024,3,"0003"
2024,5,"0005"
2024,26,"0026"
2024,23,"0016"
2024,28,"0018"
2024,17,"0017"
2024,1,"0001"
2024,13,"0013"
2024,27,"0027"
2024,8,"0008"
2024,15,"0004"
2024,10,"0010"
2024,32,"0032"
2024,31,"0031"
2024,21,"0021"
2024,11,"0011"
2024,19,"0019"
2024,30,NA
2024,7,"0007"
2024,14,"0014"
2025,1,"0011"
2025,2,"0002"
2025,3,"0003"
2025,4,NA
2025,5,"0005"
2025,6,"0006"
2025,7,"0026"
2025,8,NA
2025,9,"0009"
2025,10,"0010"
2025,11,NA
2025,12,"0012"
2025,13,"0013"
2025,14,"0014"
2025,15,"0004"
2025,16,"0015"
2025,17,"0017"
2025,18,"0016"
2025,19,"0019"
2025,20,"0020"
2025,21,"0021"
2025,22,"0022"
2025,23,"0023"
2025,24,"0007"
2025,25,"0025"
2025,26,NA
2025,27,"0027"
2025,28,"0028"
2025,29,"0029"
2025,30,NA
2025,31,"0031"
2025,32,"0032"
